codCliente,codPoliza,Edad,Ramo,Y,Salud,Vida,Autos,Cumplimiento,Patrimoniales,Otros
37,69,31,Vida,Autos,0,1,0,0,0,0
37,80568,31,Autos,Salud,0,1,1,0,0,0
84,118023,41,Autos,Vida,0,0,1,0,0,0
87,54,42,Vida,Salud,0,1,0,0,0,0
1380,15380,36,Autos,Patrimoniales,0,0,1,0,0,0
1380,253,36,Patrimoniales,Salud,0,0,1,0,1,0
1387,199,29,Autos,Salud,0,0,1,0,0,0
1394,347,34,Autos,Salud,0,0,1,0,0,0
1403,118012,35,Patrimoniales,Salud,0,0,0,0,1,0
1403,283,35,Salud,Vida,1,0,0,0,1,0
1411,84679,38,Cumplimiento,Salud,0,0,0,1,0,0
1424,19890,59,Autos,Salud,0,0,1,0,0,0
1615,1377,39,Salud,Patrimoniales,1,0,0,0,0,0
1617,29461,39,Vida,Patrimoniales,0,1,0,0,0,0
1621,1302,39,Salud,Autos,1,0,0,0,0,0
1630,1220,33,Salud,Autos,1,0,0,0,0,0
1638,2207,28,Vida,Autos,0,1,0,0,0,0
1643,1355,39,Vida,Salud,0,1,0,0,0,0
1661,2524,39,Salud,Vida,1,0,0,0,0,0
1663,1680,35,Vida,Autos,0,1,0,0,0,0
1663,373,35,Autos,Salud,0,1,1,0,0,0
1679,1832,39,Vida,Autos,0,1,0,0,0,0
1694,1812,37,Vida,Salud,0,1,0,0,0,0
1698,2610,33,Salud,Vida,1,0,0,0,0,0
1700,2390,32,Salud,Vida,1,0,0,0,0,0
1701,2049,31,Vida,Salud,0,1,0,0,0,0
1711,1383,38,Vida,Autos,0,1,0,0,0,0
1711,18186,38,Autos,Salud,0,1,1,0,0,0
1718,1509,40,Vida,Salud,0,1,0,0,0,0
1727,1797,33,Vida,Salud,0,1,0,0,0,0
1730,1356,29,Vida,Salud,0,1,0,0,0,0
1732,513,29,Autos,Vida,0,0,1,0,0,0
1747,2119,37,Vida,Patrimoniales,0,1,0,0,0,0
1764,1802,32,Vida,Salud,0,1,0,0,0,0
1768,1848,39,Vida,Salud,0,1,0,0,0,0
1777,2103,32,Vida,Autos,0,1,0,0,0,0
1777,59029,32,Autos,Patrimoniales,0,1,1,0,0,0
1787,2266,38,Vida,Autos,0,1,0,0,0,0
1787,466,38,Autos,Salud,0,1,1,0,0,0
1788,1610,38,Vida,Autos,0,1,0,0,0,0
1790,139443,37,Vida,Salud,0,1,0,0,0,0
1792,670,36,Cumplimiento,Patrimoniales,0,0,0,1,0,0
1792,28578,36,Patrimoniales,Vida,0,0,0,1,1,0
1814,2417,29,Salud,Vida,1,0,0,0,0,0
1864,4713,36,Patrimoniales,Vida,0,0,0,0,1,0
1881,1466,38,Vida,Autos,0,1,0,0,0,0
1883,1614,37,Vida,Patrimoniales,0,1,0,0,0,0
1884,1016,37,Patrimoniales,Salud,0,0,0,0,1,0
